Datum,brunnen kiebingen i,brunnen kiebingen ii,brunnen kiebingen iii,brunnen kiebingen iv,brunnen kiebingen v,brunnen kiebingen vi,brunnen hfb unteres neckartal  t?bingen,brunnen pumpwerk gehrnfeld,brunnen steinlachgruppe,brunnen vertikalfilterbrunnen t?bingen unteres neckartal
01.01.2017,2775,1560,797,1039,410,407,0,2005.500029,1000,0
02.01.2017,1979,284,796,185,410,405,0,1606.500036,1000,0
03.01.2017,2358,934,796,612,411,406,0,2121.800022,1000,0
04.01.2017,2894,1353,796,893,409,406,0,2011.100034,1000,0
05.01.2017,2554,1091,796,715,411,406,0,1475.600011,1000,0
06.01.2017,1841,325,796,210,413,405,0,1926.100026,1000,0
07.01.2017,2000,734,797,475,413,405,0,1917.600099,1000,0
08.01.2017,2606,1018,795,666,411,406,0,2114.000004,1000,0
09.01.2017,2175,907,796,594,412,406,0,1591.200023,1000,0
10.01.2017,1648,703,654,459,374,406,0,2811.200017,1000,0
11.01.2017,2754,1211,939,790,447,405,0,1862.500034,1000,0
12.01.2017,2279,645,796,420,411,406,0,2661.400045,1000,0
13.01.2017,2300,855,796,559,411,407,0,2234.30005,1000,0
14.01.2017,1721,444,797,287,411,406,0,1784.000044,1000,0
15.01.2017,2880,1440,797,951,411,405,0,2369.700029,1000,0
16.01.2017,1451,1227,375,684,205,239,0,1734.000027,1000,0
17.01.2017,1015,655,934,434,523,583,62,2812.500081,1000,0
18.01.2017,2200,687,907,449,449,405,0,2224.300055,1000,0
19.01.2017,2385,763,797,502,410,405,0,1896.200044,1000,0
20.01.2017,2555,1117,796,733,411,405,0,2311.800029,1000,0
21.01.2017,2547,948,796,625,410,406,0,2024.000016,1000,0
22.01.2017,2491,1243,796,804,410,405,0,2453.600025,1000,0
23.01.2017,2174,592,797,390,411,405,0,1666.300007,1000,0
24.01.2017,2383,961,796,625,410,405,0,2396.899996,1000,0
25.01.2017,2033,677,796,447,411,405,0,2172.300005,1000,0
26.01.2017,2161,758,797,494,409,403,0,2166.100021,1000,0
27.01.2017,2769,1337,797,883,411,406,0,2339.800025,1000,0
28.01.2017,2187,1200,796,789,410,406,0,2052.200018,1000,0
