Date,Ne-401,Ne-402,Ne-403,Ne-503,Ne-504,Ne-505,Ne-506,Ne-507,Ne-604,Ne-801,Ne-802,Ne-803,Ne-805,Ne-806
12.02.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.61,-9999,-9999,-9999,-9999,-9999
27.02.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.42,-9999,-9999,-9999,-9999,-9999
13.03.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.52,-9999,-9999,-9999,-9999,-9999
27.03.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.29,-9999,-9999,-9999,-9999,-9999
03.04.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.3,-9999,-9999,-9999,-9999,-9999
09.04.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.2,-9999,-9999,-9999,-9999,-9999
17.04.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.28,-9999,-9999,-9999,-9999,-9999
24.04.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.31,-9999,-9999,-9999,-9999,-9999
30.04.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.3,-9999,-9999,-9999,-9999,-9999
08.05.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.15,-9999,-9999,-9999,-9999,-9999
15.05.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,328.52,-9999,-9999,-9999,-9999,-9999
19.05.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,328.15,-9999,-9999,-9999,-9999,-9999
22.05.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,328.15,-9999,-9999,-9999,-9999,-9999
26.05.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,328.24,-9999,-9999,-9999,-9999,-9999
27.05.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.77,-9999,-9999,-9999,-9999,-9999
28.05.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.77,-9999,-9999,-9999,-9999,-9999
30.05.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.57,-9999,-9999,-9999,-9999,-9999
02.06.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.55,-9999,-9999,-9999,-9999,-9999
03.06.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.47,-9999,-9999,-9999,-9999,-9999
06.06.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.3,-9999,-9999,-9999,-9999,-9999
10.06.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.27,-9999,-9999,-9999,-9999,-9999
12.06.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.28,-9999,-9999,-9999,-9999,-9999
18.06.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.21,-9999,-9999,-9999,-9999,-9999
26.06.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.1,-9999,-9999,-9999,-9999,-9999
03.07.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.07,-9999,-9999,-9999,-9999,-9999
10.07.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.02,-9999,-9999,-9999,-9999,-9999
17.07.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.04,-9999,-9999,-9999,-9999,-9999
25.07.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.96,-9999,-9999,-9999,-9999,-9999
31.07.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.95,-9999,-9999,-9999,-9999,-9999
19.08.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.92,-9999,-9999,-9999,-9999,-9999
28.08.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.92,-9999,-9999,-9999,-9999,-9999
10.09.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.92,-9999,-9999,-9999,-9999,-9999
18.09.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.96,-9999,-9999,-9999,-9999,-9999
25.09.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.05,-9999,-9999,-9999,-9999,-9999
02.10.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.01,-9999,-9999,-9999,-9999,-9999
08.10.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.1,-9999,-9999,-9999,-9999,-9999
16.10.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.89,-9999,-9999,-9999,-9999,-9999
23.10.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.86,-9999,-9999,-9999,-9999,-9999
29.10.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.85,-9999,-9999,-9999,-9999,-9999
06.11.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.83,-9999,-9999,-9999,-9999,-9999
13.11.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.82,-9999,-9999,-9999,-9999,-9999
15.12.2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.85,-9999,-9999,-9999,-9999,-9999
06.02.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.04,-9999,-9999,-9999,-9999,-9999
04.03.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.83,-9999,-9999,-9999,-9999,-9999
22.03.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.96,-9999,-9999,-9999,-9999,-9999
29.03.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.84,-9999,-9999,-9999,-9999,-9999
01.04.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.91,-9999,-9999,-9999,-9999,-9999
08.04.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327.02,-9999,-9999,-9999,-9999,-9999
15.04.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327,-9999,-9999,-9999,-9999,-9999
16.04.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327,-9999,-9999,-9999,-9999,-9999
19.04.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.99,-9999,-9999,-9999,-9999,-9999
20.04.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.99,-9999,-9999,-9999,-9999,-9999
21.04.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,327,-9999,-9999,-9999,-9999,-9999
13.05.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.94,-9999,-9999,-9999,-9999,-9999
27.05.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.87,-9999,-9999,-9999,-9999,-9999
09.06.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.9,-9999,-9999,-9999,-9999,-9999
15.06.2004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,326.78,-9999,-9999,-9999,-9999,-9999
